name,gender,SSN,age,complete address,zipcode of residence,state of residence,S1,S2,S3
Russell Proctor,Male,122-23-4066,46,40737 Megan Viaduct North Christinahaven  MD 79330,79330,MD,AGREE,AGREE,DISAGREE
Tammy Page,Female,470-32-8774,45,034 Charles Neck Suite 433 West Christophershire  OR 74791,74791,OR,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Mary Roberts,Female,573-74-9492,24,4884 Michael Loaf Apt. 734 Donnaborough  RI 15787,15787,RI,STRONGLY AGREE,AGREE,no community
Jennifer Lee,Female,395-22-5517,54,611 Payne Crossing Port Cassandrafurt  CO 73036,73036,CO,STRONGLY DISAGREE,DISAGREE,STRONGLY AGREE
Carlos Brewer,Male,832-91-1543,71,75021 Cummings Rue Port Eric  MT 39366,39366,MT,DISAGREE,AGREE,STRONGLY DISAGREE
Ann Rivera,Female,039-48-4563,35,831 Martinez Rest Michaelshire  LA 78403,78403,LA,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Carolyn Pierce,Female,560-88-0535,47,542 Emily Ville Gibbsstad  TN 40505,40505,TN,DISAGREE,DISAGREE,STRONGLY AGREE
Brian Sullivan,Male,062-85-5891,40,492 Newman Tunnel Suite 955 Lake Adrian  IN 95928,95928,IN,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Marvin Parker,Male,761-84-4767,66,7705 Lane Dam Lindamouth  TX 41560,41560,TX,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Deborah Jones,Female,813-65-1240,70,2052 Gloria Isle Apt. 930 South Kennethburgh  NY 60779,60779,NY,STRONGLY DISAGREE,maybe,STRONGLY DISAGREE
Linda Thomas,Female,097-47-1841,18,03677 White Lane Apt. 756 Michaelberg  IA 90204,90204,IA,STRONGLY AGREE,STRONGLY AGREE,AGREE
Kenneth Rodriguez,Male,145-63-7076,18,602 Tony Streets Suite 060 Alexandrachester  NE 51626,51626,NE,AGREE,DISAGREE,DISAGREE
Derek Ward,Male,818-16-7612,61,225 Autumn Plains Lake Ronaldstad  OR 78444,78444,OR,STRONGLY DISAGREE,DISAGREE,AGREE
Brooke Short,Female,770-75-7169,78,244 Ayala Port Apt. 419 New Donnaside  AZ 86696,86696,AZ,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Victoria Horton,Female,557-61-4651,60,7253 Roger Parks Lake Brandon  OR 82835,82835,OR,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Daniel Hays,Male,402-73-3955,52,467 Gary Mountain Derekfort  PA 64860,64860,PA,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
David Morgan,Male,206-97-7415,54,PSC 4016  Box 1406 APO AP 02376,2376,AP,DISAGREE,AGREE,STRONGLY DISAGREE
Derrick Wise,Male,691-55-6086,63,44113 Maria Shore Suite 608 Alexandershire  VT 65913,65913,VT,DISAGREE,AGREE,STRONGLY DISAGREE
Patricia Moreno,Female,092-81-1887,63,174 Smith Keys Shaneburgh  NM 01904,1904,NM,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Alexandra Fowler,Female,649-53-7991,77,4728 Ortiz Meadow Apt. 834 Port Vicki  OK 14642,14642,OK,STRONGLY DISAGREE,DISAGREE,AGREE
John Stephens,Male,114-74-4001,62,545 Kevin Fort Matthewmouth  CO 70020,70020,CO,STRONGLY DISAGREE,don't know,DISAGREE
Vicki Wolf,Female,046-67-6341,47,52888 Michael Courts Lake Alexander  TX 77761,77761,TX,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Diane Michael,Female,082-47-7875,71,0316 Suarez Crest Jacksonton  VT 29698,29698,VT,DISAGREE,STRONGLY DISAGREE,DISAGREE
Phillip Kelly,Male,310-44-6936,44,Unit 1611 Box 0073 DPO AE 63234,63234,AE,AGREE,AGREE,AGREE
Pamela Burke,Female,846-55-3802,73,PSC 7273  Box 2386 APO AE 95620,95620,AE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Stephen Zimmerman,Male,585-12-4106,61,699 Edwin Meadows Baldwinborough  WA 60938,60938,WA,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Ashley Medina,Female,790-78-9655,59,3511 Liu Summit Apt. 359 West Alexanderton  MN 01260,1260,MN,DISAGREE,AGREE,AGREE
Bethany Phillips,Female,360-43-8813,76,22534 Calderon Park Apt. 614 Jeffreyton  WY 63594,63594,WY,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Anna Cox,Female,791-42-4091,52,644 Martin Isle East Jennifer  GA 81514,81514,GA,AGREE,AGREE,DISAGREE
Brent Hernandez,Male,715-64-8275,74,USS Lamb FPO AA 91523,91523,AA,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
John Williams,Male,202-90-7494,27,9257 Green Pass Apt. 033 Thomasburgh  VT 61489,61489,VT,AGREE,AGREE,AGREE
Antonio Carr,Male,480-48-3549,29,USCGC Clark FPO AP 50793,50793,AP,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Michelle Patterson,Female,388-95-7039,19,493 David Walks Apt. 454 Moniqueborough  MN 21034,21034,MN,NEUTRAL,STRONGLY DISAGREE,STRONGLY DISAGREE
Shannon Franklin,Female,164-27-7893,34,909 Lopez Run Lake Reginald  KS 41100,41100,KS,NEUTRAL,STRONGLY DISAGREE,STRONGLY DISAGREE
Brian Aguilar,Male,830-78-1810,33,0900 Mark Pine Lake Douglas  TN 62255,62255,TN,AGREE,don't know,STRONGLY AGREE
Danielle Parks,Female,351-68-4060,20,314 Jennifer Walk Suite 308 Lopezchester  MO 29990,29990,MO,NEUTRAL,STRONGLY DISAGREE,STRONGLY DISAGREE
Monica Johnson,Female,202-55-7860,32,33936 Christian Crossroad Suite 439 Lake Deborah  DE 19615,19615,DE,STRONGLY AGREE,AGREE,DISAGREE
Mrs. Kathleen Taylor,Female,662-22-4838,75,077 Gary Roads Suite 025 Nicholstown  SC 10795,10795,SC,AGREE,DISAGREE,STRONGLY AGREE
Eric Reed,Male,546-97-5547,74,744 Brandy Underpass Port Tammy  CO 17243,17243,CO,STRONGLY DISAGREE,DISAGREE,STRONGLY AGREE
Kathy Cooper,Female,590-54-1894,40,948 Fletcher Curve Apt. 840 Craigbury  CA 57600,57600,CA,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Kimberly Barrett,Female,247-87-5315,30,5580 Lindsey Turnpike Apt. 524 Lake Christine  ID 96794,96794,ID,STRONGLY AGREE,AGREE,AGREE
Timothy Nguyen,Male,767-11-4033,53,381 Maria Terrace Apt. 262 Davidville  GA 59397,59397,GA,DISAGREE,STRONGLY AGREE,sometimes
Carolyn Phillips,Female,373-72-8607,26,6976 Conway Prairie Suite 797 Lake Matthew  SD 41846,41846,SD,STRONGLY AGREE,don't know,DISAGREE
Charles Jones,Male,533-60-8973,33,73093 Johnson Underpass East Coreyborough  MO 29060,29060,MO,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Allison Porter,Female,605-45-7199,19,59755 Eddie Turnpike Apt. 718 Lake Lee  FL 27149,27149,FL,NEUTRAL,STRONGLY DISAGREE,DISAGREE
Daniel Dixon,Male,284-40-5378,34,82517 Christopher Summit Apt. 402 Bryanstad  IL 53130,53130,IL,AGREE,DISAGREE,STRONGLY AGREE
Joshua Hawkins,Male,041-63-8535,67,USNV Espinoza FPO AP 74621,74621,AP,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Paige Holmes,Female,291-36-5416,20,7025 Dennis View Scottville  IN 53695,53695,IN,STRONGLY AGREE,STRONGLY AGREE,depends
Vanessa Ferguson,Female,644-94-8378,27,586 Roberts Spurs Dorseymouth  NJ 45312,45312,NJ,STRONGLY AGREE,AGREE,AGREE
Amy Carr,Female,286-96-4984,56,5766 Rogers Burg West Miguelside  AZ 43476,43476,AZ,AGREE,AGREE,AGREE
Cathy Fuller,Female,711-75-6649,18,68072 Daniel Stravenue Justinstad  NC 81820,81820,NC,NEUTRAL,AGREE,AGREE
Peter Ewing,Male,711-77-3592,26,6215 Garza Locks South Alexander  NC 19621,19621,NC,AGREE,DISAGREE,STRONGLY AGREE
Benjamin Cook,Male,060-48-2920,35,889 Williams Hill Hollyborough  HI 83569,83569,HI,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Ricardo Garcia,Male,217-24-9163,73,332 Gould Crest Apt. 314 Cesarborough  ID 43542,43542,ID,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Darlene Rodgers,Female,261-08-4980,77,158 Adam Trail Richardville  CA 34099,34099,CA,STRONGLY DISAGREE,AGREE,AGREE
Mark Mendoza,Male,688-92-4012,22,Unit 4850 Box 6660 DPO AE 23675,23675,AE,AGREE,DISAGREE,AGREE
Tyler Collins,Male,459-97-9965,29,USNV Elliott FPO AA 78537,78537,AA,AGREE,STRONGLY DISAGREE,DISAGREE
Robert Lamb,Male,095-85-1043,58,07354 Robert Vista North Christopher  GA 02108,2108,GA,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
David Harvey,Male,681-72-1987,34,29576 Yolanda Stream Andrewland  OR 24418,24418,OR,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
John Shannon,Male,474-70-0332,62,20139 Timothy Glens Apt. 027 West Jeffrey  CO 80696,80696,CO,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Gerald Phillips,Male,456-56-7771,78,Unit 0844 Box 5972 DPO AA 48677,48677,AA,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Erica Martin,Female,051-57-1345,57,56973 Samantha Springs Suite 984 Onealstad  VA 63247,63247,VA,AGREE,STRONGLY DISAGREE,depends
Jessica Bush,Female,634-67-6508,53,2830 Krystal Cape Apt. 956 Johnathanmouth  ME 54506,54506,ME,STRONGLY DISAGREE,DISAGREE,AGREE
Jesse Downs,Male,629-24-9722,66,840 Johnson Forest North Christopher  NC 21868,21868,NC,STRONGLY DISAGREE,STRONGLY DISAGREE,DISAGREE
Michael Nelson,Male,514-31-9196,75,95540 Margaret Green Justinbury  NJ 38854,38854,NJ,AGREE,AGREE,STRONGLY AGREE
Nancy Sanders,Female,451-02-7487,18,4347 Jose Road Davisborough  MI 74578,74578,MI,STRONGLY AGREE,STRONGLY AGREE,depends
Amy Sawyer,Female,883-42-8971,56,653 Derrick Rapid Port Kirkfort  NJ 98527,98527,NJ,DISAGREE,not sure,DISAGREE
Jeffrey Montgomery,Male,363-26-8105,55,456 Trevor Brook North Courtney  SD 94914,94914,SD,DISAGREE,STRONGLY DISAGREE,AGREE
Amanda Cruz,Female,093-22-1135,50,581 Conrad Junctions Matthewberg  ME 69523,69523,ME,DISAGREE,DISAGREE,DISAGREE
Gregory Russell,Male,806-42-4547,59,USS Duran FPO AP 96674,96674,AP,STRONGLY DISAGREE,AGREE,DISAGREE
James Dixon,Male,685-54-2449,44,276 Fox Rapids North Danielmouth  SD 80284,80284,SD,DISAGREE,DISAGREE,STRONGLY DISAGREE
Lee Haynes,Male,197-78-3666,32,983 Brown Wall Colemanmouth  AL 25611,25611,AL,AGREE,STRONGLY AGREE,STRONGLY AGREE
Randall Mason MD,Male,195-38-3046,71,USNS Salas FPO AE 47033,47033,AE,DISAGREE,STRONGLY AGREE,DISAGREE
Harry Huber,Male,453-56-6493,38,11553 Victoria Junction Ashleyfort  NE 10467,10467,NE,STRONGLY DISAGREE,DISAGREE,DISAGREE
Sarah Burton,Female,077-25-3252,51,61512 Peter Road Apt. 184 Crystalmouth  KY 70446,70446,KY,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Christine Huerta,Female,215-80-1545,52,3678 Joshua Extensions Castanedastad  MO 19205,19205,MO,STRONGLY DISAGREE,AGREE,DISAGREE
Kevin Hooper,Male,029-50-8676,52,3936 Lauren Fort Hendrixtown  OH 70624,70624,OH,STRONGLY AGREE,AGREE,DISAGREE
Patrick Holmes,Male,358-05-8500,26,PSC 9743  Box 4601 APO AE 50810,50810,AE,AGREE,DISAGREE,AGREE
Brittany Li,Female,315-79-4144,43,97932 Gerald Fields Port Christophermouth  KY 85954,85954,KY,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Derrick Reed,Male,845-16-8211,65,056 Gilbert Extensions North Joseph  MD 36580,36580,MD,DISAGREE,STRONGLY AGREE,AGREE
Jesse Murphy,Male,599-89-1485,67,4045 Martin Drive Mcdonaldchester  NM 39637,39637,NM,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Hannah Hudson,Female,788-92-2443,22,Unit 1890 Box 9466 DPO AA 14412,14412,AA,NEUTRAL,STRONGLY AGREE,DISAGREE
Billy Cook,Male,569-79-5254,59,913 Carpenter Lodge Suite 172 Derekberg  AR 03161,3161,AR,STRONGLY DISAGREE,AGREE,STRONGLY AGREE
Pam Mitchell,Female,838-95-5408,78,Unit 7848 Box 7014 DPO AE 95189,95189,AE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Christopher Diaz,Male,054-08-2425,72,PSC 4420  Box 7986 APO AP 47092,47092,AP,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Joseph Stevens,Male,839-75-2393,40,810 Don Branch Apt. 323 Williamfort  AZ 40038,40038,AZ,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Kaitlyn Mcmillan,Female,730-07-5891,41,52238 Riley Estates Apt. 581 Lake Yeseniamouth  SC 22733,22733,SC,STRONGLY AGREE,AGREE,DISAGREE
Theresa Johnson,Female,768-21-6850,66,58935 Lindsay Vista Suite 351 Mcdanielstad  KS 19519,19519,KS,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Kimberly Miller,Female,273-69-0439,37,785 Traci Inlet Port Rebecca  AZ 59712,59712,AZ,STRONGLY DISAGREE,AGREE,DISAGREE
Cameron Thompson,Male,841-75-5602,75,547 Wheeler Hill New Nathan  MS 51536,51536,MS,STRONGLY DISAGREE,DISAGREE,AGREE
Fred Hopkins,Male,641-11-1644,59,778 Kathleen Corner Suite 658 Adambury  FL 04100,4100,FL,AGREE,STRONGLY DISAGREE,sometimes
Andrew Smith,Male,316-11-6555,41,7271 Kathleen Ports Mercadoburgh  SC 54553,54553,SC,AGREE,AGREE,STRONGLY AGREE
David Watkins,Male,572-87-0724,78,805 Price Turnpike Apt. 942 Lake Jamiestad  ND 52674,52674,ND,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Nicole Ramirez,Female,361-13-5856,48,22817 Coleman Vista Apt. 705 Patrickberg  SC 29254,29254,SC,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Daniel Munoz,Male,258-12-4166,68,80354 James Village North Georgeshire  WA 54266,54266,WA,STRONGLY AGREE,STRONGLY AGREE,sometimes
Justin Bray,Male,147-79-8198,30,3419 Edward Prairie Cruzland  AR 89148,89148,AR,AGREE,DISAGREE,AGREE
Marc Gibson,Male,256-83-3983,18,3789 Jamie Village Apt. 902 Kingland  NM 56447,56447,NM,AGREE,DISAGREE,DISAGREE
Roberto Williamson,Male,119-88-6153,58,265 Charles Mall Hintonbury  TN 90689,90689,TN,DISAGREE,STRONGLY DISAGREE,DISAGREE
Christine Pennington,Female,322-89-9454,77,Unit 7614 Box 7223 DPO AP 68247,68247,AP,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Rachel Harris,Female,637-83-8329,64,446 Ricky Way Suite 155 Cabreraberg  VA 33189,33189,VA,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Elizabeth Vazquez,Female,854-38-0663,42,1997 Heather Harbor Lake Michaeltown  KS 78976,78976,KS,AGREE,not sure,AGREE
Jason Reyes,Male,788-11-0051,18,5343 Ballard Lake South Elizabethborough  WA 47806,47806,WA,AGREE,STRONGLY DISAGREE,AGREE
Jenna Villanueva,Female,173-98-2469,38,1921 Robert Station Lake Toni  RI 35082,35082,RI,STRONGLY DISAGREE,STRONGLY AGREE,sometimes
Ruben Hart,Male,374-84-6261,41,910 Nicholas Roads New Joel  MI 71163,71163,MI,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Tina Williams,Female,416-39-9488,44,PSC 8884  Box 4540 APO AP 35599,35599,AP,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Brian Estrada,Male,338-37-0913,41,PSC 1609  Box 7162 APO AP 35731,35731,AP,DISAGREE,DISAGREE,DISAGREE
Ashley Oliver,Female,099-49-8654,78,643 Maxwell Points North Patrickview  RI 86781,86781,RI,AGREE,STRONGLY AGREE,AGREE
Chelsea West,Female,306-32-9333,54,124 Sweeney Groves Warrenside  CT 90380,90380,CT,DISAGREE,STRONGLY AGREE,DISAGREE
Alicia Harris,Female,197-17-6437,73,9595 Cunningham Knolls Suite 246 Jeffreyburgh  NM 36906,36906,NM,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Brandy Martin,Female,336-47-6760,40,7753 Dustin Radial Suite 081 Thompsonfurt  AR 86458,86458,AR,DISAGREE,AGREE,STRONGLY DISAGREE
Michael Cole,Male,052-51-5750,40,284 Young Prairie Suite 606 East Anthonyton  VA 01292,1292,VA,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Tanner Whitaker,Male,097-03-1281,20,109 Miller Plain Suite 865 Catherinechester  VT 80605,80605,VT,AGREE,STRONGLY DISAGREE,DISAGREE
Shawn Vazquez,Male,552-34-3748,42,10429 Carter Square Lake Adamton  IL 53599,53599,IL,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Blake Johnson,Male,741-56-0303,76,228 Matthew Shore Gomezborough  IA 43760,43760,IA,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Gina Rodriguez,Female,270-70-2539,69,66405 Santana Port Williamshaven  CO 72245,72245,CO,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Joseph Morris,Male,467-97-9450,67,788 Harris Points Suite 529 Lake Laurie  MT 29875,29875,MT,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Diana Miles,Female,377-55-0365,31,54784 Soto Freeway Apt. 462 New Maxside  ME 06908,6908,ME,STRONGLY AGREE,AGREE,STRONGLY AGREE
Douglas Brown,Male,157-95-4584,72,952 Kelsey Trail Carsonfurt  NC 37229,37229,NC,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Brett Donovan,Male,382-66-6850,38,7107 Peters Orchard Port Mark  SC 47644,47644,SC,AGREE,STRONGLY DISAGREE,DISAGREE
Jeffrey Garcia,Male,380-04-8270,23,Unit 8810 Box 5695 DPO AE 40190,40190,AE,DISAGREE,AGREE,AGREE
Kyle Jackson,Male,073-43-1755,61,636 Daniel Village North Sarahmouth  ME 23030,23030,ME,AGREE,AGREE,AGREE
Amber Wells,Female,825-76-2149,33,088 Shelton Shoal Apt. 396 East Ashley  OR 07994,7994,OR,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Eric Rios,Male,582-34-2476,50,3490 Adam Radial New Rebeccatown  VA 65859,65859,VA,DISAGREE,STRONGLY DISAGREE,DISAGREE
Rhonda Gonzales,Female,075-72-2620,76,51503 Andrew Mill Apt. 196 Thompsonborough  TN 01800,1800,TN,AGREE,STRONGLY DISAGREE,DISAGREE
Judith Owen,Female,813-13-4983,76,718 Turner Ville Garciamouth  OH 36458,36458,OH,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Spencer Bennett,Male,168-21-2419,46,112 Brown Expressway Paulfort  AR 77153,77153,AR,STRONGLY AGREE,STRONGLY AGREE,AGREE
Victoria Vega,Female,021-99-0157,28,4847 Betty Union Apt. 224 Lake Austinton  UT 42583,42583,UT,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Eric Duncan,Male,800-03-1835,78,57213 Rivas Circle Jameshaven  CT 81760,81760,CT,STRONGLY AGREE,DISAGREE,AGREE
Lauren Blake,Female,292-93-5039,37,5740 Ruiz Forges Heidiville  MT 36297,36297,MT,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Jonathan Baxter,Male,235-81-4093,61,436 Sonya Walks Apt. 011 Christinashire  CO 51565,51565,CO,DISAGREE,maybe,AGREE
Andre Smith,Male,107-51-1569,21,47578 David Tunnel Apt. 518 Lake Jordan  MT 62064,62064,MT,AGREE,DISAGREE,STRONGLY AGREE
Kimberly Holmes,Female,563-09-1261,33,2464 Schultz Lake Austinshire  OH 08855,8855,OH,STRONGLY AGREE,don't know,AGREE
Carolyn Singleton,Female,420-06-1905,27,04790 Reed Prairie Theresafort  NJ 83818,83818,NJ,NEUTRAL,STRONGLY DISAGREE,sometimes
Jamie Smith,Female,755-61-6218,59,296 Smith Cliff Traceyton  TX 28152,28152,TX,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Daniel Hernandez,Male,853-49-7180,65,3943 Avila Pine Meyerborough  MT 80552,80552,MT,DISAGREE,DISAGREE,STRONGLY DISAGREE
Victoria Weaver,Female,515-62-0355,22,5763 Davis Spring Suite 919 Heatherfort  NY 87090,87090,NY,STRONGLY AGREE,DISAGREE,DISAGREE
George Cannon,Male,422-16-5173,21,7405 Li Ridge Justinland  PA 56654,56654,PA,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Rhonda Moyer,Female,318-85-3383,77,03574 Timothy Gardens Apt. 541 South Don  LA 42703,42703,LA,AGREE,DISAGREE,STRONGLY AGREE
Krista Smith,Female,046-09-4338,75,PSC 4062  Box 5208 APO AE 52677,52677,AE,DISAGREE,DISAGREE,DISAGREE
Jordan Arellano,Male,593-09-9416,40,312 Penny Village Apt. 436 Perezfurt  RI 91277,91277,RI,AGREE,AGREE,no community
Natalie Williams,Female,877-21-7818,57,002 Day Groves Brianshire  LA 18311,18311,LA,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Cameron Hernandez,Male,485-15-8424,56,5647 Douglas Loop Grimesborough  RI 81185,81185,RI,DISAGREE,not sure,STRONGLY AGREE
Terry Young,Male,586-58-7860,50,394 Martin Junctions Port Samantha  OR 00956,956,OR,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Roger Harper,Male,019-62-9771,74,59945 Hill Mews Josephview  VT 78373,78373,VT,DISAGREE,STRONGLY AGREE,AGREE
Brenda Miller,Female,785-45-0189,35,8824 Shaw Lodge Vegamouth  KY 81393,81393,KY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Jeanette Smith,Female,081-02-6011,22,496 Morris Square Apt. 744 Brownberg  AK 16806,16806,AK,STRONGLY AGREE,AGREE,AGREE
Mr. Thomas Cruz,Male,098-10-7227,43,5002 Price Canyon Joshuatown  AR 86002,86002,AR,STRONGLY DISAGREE,AGREE,DISAGREE
Nicholas Evans,Male,528-23-7497,39,54236 Lewis Route Apt. 894 Brownmouth  TN 11390,11390,TN,DISAGREE,AGREE,DISAGREE
Pamela Mckinney,Female,140-98-7766,18,PSC 7550  Box 6985 APO AP 29584,29584,AP,NEUTRAL,STRONGLY DISAGREE,DISAGREE
Amanda West,Female,791-24-2003,34,4758 Jimenez Roads Halestad  DE 30617,30617,DE,STRONGLY AGREE,DISAGREE,DISAGREE
Michael Tate,Male,604-61-9886,59,655 Richard Junction Apt. 673 Morsetown  NH 35926,35926,NH,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Christopher Ball,Male,315-62-6683,24,2015 Parrish Walk Suite 073 Colemanborough  MO 27670,27670,MO,AGREE,DISAGREE,AGREE
Robert Ochoa,Male,482-17-5416,46,2325 Jones Burg South Jonathan  NE 35204,35204,NE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Joshua Hester,Male,394-97-4511,64,1091 Christopher Causeway Hoffmanport  IN 31031,31031,IN,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Barbara Stewart,Female,412-14-3444,63,2145 Kevin Plains Apt. 404 Francisborough  IA 62155,62155,IA,STRONGLY AGREE,AGREE,AGREE
Thomas Smith,Male,690-44-2148,72,5710 Katherine Island Apt. 107 Michaelfort  AR 13723,13723,AR,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Angela Brown,Female,270-38-5738,48,26120 Barnes Branch Suite 311 East Daniel  NJ 12194,12194,NJ,AGREE,DISAGREE,DISAGREE
Kathryn Smith,Female,213-68-7297,76,46527 Thomas Fields Kristopherton  ME 17033,17033,ME,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Andrea Bennett,Female,494-14-1173,41,560 Adams Cove Webbchester  MT 76982,76982,MT,DISAGREE,AGREE,STRONGLY DISAGREE
Michelle Rodriguez,Female,721-13-4521,61,45831 Chandler Ridge New Christopher  AR 21962,21962,AR,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Jennifer Franco,Female,412-66-2696,25,9288 Jennifer Unions New Matthew  UT 47287,47287,UT,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Michael Harris,Male,791-52-4910,72,3350 Eric Fords Anthonyton  SC 18157,18157,SC,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Rachel Thompson,Female,589-21-0613,52,690 Alisha Heights Shepherdton  WY 73153,73153,WY,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Andre Arroyo,Male,326-16-4302,75,279 Hanna Terrace Suite 348 Port Christine  CA 94181,94181,CA,DISAGREE,STRONGLY DISAGREE,DISAGREE
Laura Taylor,Female,861-64-7538,43,109 Weber Creek Smithtown  AL 17049,17049,AL,DISAGREE,STRONGLY DISAGREE,DISAGREE
Nicole Andrade,Female,775-92-4050,48,59050 Heather Isle Apt. 571 Perezchester  OR 21303,21303,OR,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Maria Melton,Female,179-15-8286,44,4745 Kimberly Way Apt. 896 West Kristi  NM 04402,4402,NM,AGREE,STRONGLY DISAGREE,DISAGREE
Charles Villarreal,Male,670-83-8408,41,Unit 6988 Box 3990 DPO AA 57051,57051,AA,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Austin Mcclain,Male,398-69-6299,31,471 Johnson Bridge Brettside  UT 25110,25110,UT,AGREE,AGREE,STRONGLY DISAGREE
Jennifer Todd,Female,014-86-4156,45,Unit 4416 Box 4103 DPO AA 77158,77158,AA,STRONGLY DISAGREE,DISAGREE,STRONGLY AGREE
Erin Thompson,Female,803-82-1896,66,7179 Osborn Common Apt. 779 North Jennifermouth  MT 77165,77165,MT,DISAGREE,AGREE,STRONGLY AGREE
George Woods,Male,242-78-2416,76,0769 Reed Harbor Apt. 688 East Jenniferville  MO 77530,77530,MO,DISAGREE,STRONGLY DISAGREE,AGREE
Samuel Nguyen,Male,444-36-4784,66,USCGC Campbell FPO AA 04100,4100,AA,DISAGREE,maybe,AGREE
Robert Jones,Male,255-06-0574,33,96024 Haley Inlet Apt. 032 West Sarah  PA 11852,11852,PA,AGREE,STRONGLY DISAGREE,AGREE
Jason Stephenson,Male,627-97-5040,40,Unit 0831 Box 6183 DPO AE 19730,19730,AE,DISAGREE,DISAGREE,sometimes
Christopher Summers,Male,436-14-4408,21,0975 Andrews Parkway Suite 185 Kellyfort  VT 99635,99635,VT,DISAGREE,DISAGREE,sometimes
Elaine Grimes,Female,624-81-5114,72,3855 Becker Coves Lake Wesley  DE 26237,26237,DE,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Jennifer Thomas,Female,468-28-2155,28,31989 Mary Glen Suite 782 Port Deniseland  LA 19591,19591,LA,NEUTRAL,STRONGLY DISAGREE,DISAGREE
Christopher Smith,Male,150-32-0815,66,7993 Richardson Spring Suite 435 East Jacob  DE 36449,36449,DE,AGREE,STRONGLY DISAGREE,AGREE
